gold;num_bets;price
3046.02;28;12300
3046.02;33;12924
3046.02;19;12300
3046.02;3;12608
3046.02;21;12300
3046.02;21;12557
3046.02;6;20500
3046.02;23;12557
3046.02;26;12557
3046.02;67;12300
3046.02;29;12300
3046.02;35;12300
3046.02;33;12557
3046.02;37;12557
3046.02;24;12813
3046.02;26;12813
3046.02;33;13078
3046.02;25;13101
3046.02;23;12924
3002.45;57;13746
3002.45;29;21758
3002.45;27;20284
3002.45;35;13792
3002.45;35;14129
3002.45;68;14090
3002.45;39;13044
3002.45;56;13349
3002.45;33;13252
3002.45;35;13924
3002.45;39;14401
3002.45;35;12682
3002.45;32;13797
3002.45;65;13799
3002.45;21;13790
3002.45;29;14137
3002.45;40;13706
3002.45;23;13776
3037.48;96;15375
3037.48;41;14540
3037.48;17;12884
3037.48;17;13388
3037.48;16;15077
3037.48;30;15132
3037.48;26;15375
3037.48;9;13000
3037.48;43;12998
3037.48;31;13044
3037.48;36;13044
3037.48;39;13044
3037.48;42;13000
3037.48;38;13299
3037.48;25;13289
3037.48;33;51110
3020.71;43;29077
3020.71;27;49799
3020.71;26;36616
3020.71;31;36616
3020.71;44;12492
3020.71;21;13580
3020.71;35;12813
3020.71;26;12492
3020.71;28;12492
3020.71;19;13126
3020.71;10;15077
3020.71;19;13073
3020.71;12;13580
3020.71;18;14001
3020.71;18;13825
3020.71;36;12997
3020.71;17;13126
3020.71;31;13323
3020.71;33;13499
3020.71;17;12881
3020.71;33;13078
3020.71;25;15847
3020.71;35;13078
3020.71;38;13665
3020.71;27;13325
3020.71;43;13329
3020.71;20;13659
3020.71;39;13327
3020.71;41;13126
3020.71;26;13405
3020.71;35;13078
3020.71;21;13332
3020.71;33;13325
3020.71;22;13659
3020.71;25;13078
3020.71;29;13328
3020.71;27;13327
3020.71;25;13044
3020.71;43;13325
3020.71;32;13658
3020.71;39;13078
3020.71;19;13331
3020.71;25;15000
3020.71;23;15000
3020.71;23;15000
3020.71;41;15000
3020.71;21;15000
3020.71;27;13325
3020.71;26;13658
3020.71;29;13332
3020.71;20;13665
3020.71;35;13325
3020.71;40;24966
3043.19;42;23692
3043.19;46;15327
3043.19;55;13126
3043.19;41;13893
3043.19;40;14642
3043.19;43;14991
3043.19;34;13248
3043.19;15;13248
3043.19;35;13078
3043.19;33;13405
3043.19;29;13325
3043.19;39;14500
3043.19;15;14500
3043.19;15;14500
3060.14;34;17388
3060.14;37;16644
3060.14;42;12710
3060.14;32;12414
3060.14;55;12503
3060.14;41;12414
3060.14;59;12710
3060.14;22;13131
3060.14;52;12450
3060.14;37;12492
3060.14;30;15357
3060.14;40;23390
3060.14;39;13499
3060.14;27;13500
3065.02;21;26025
3065.02;57;30908
3065.02;27;32307
3065.02;25;31681
3065.02;19;15397
3065.02;10;13325
3065.02;4;12857
3065.02;4;12857
3065.02;37;12492
3065.02;3;12300
3065.02;4;12857
3065.02;17;12613
3065.02;25;12492
3065.02;17;13800
3065.02;49;31499
3067.03;30;14260
3067.03;67;14265
3067.03;41;14491
3067.03;28;51250
3067.03;31;11593
3067.03;37;12181
3067.03;40;12003
3067.03;27;11889
3067.03;38;12492
3067.03;38;14401
3067.03;46;13621
3067.03;53;11424
3067.03;49;13663
3067.03;49;14001
3067.03;43;13792
3067.03;123;12818
3067.03;21;13325
3067.03;25;13331
3067.03;29;13330
3067.03;35;13741
3067.03;35;13328
3067.03;33;13327
3067.03;29;13332
3067.03;29;13331
3067.03;37;13330
3067.03;31;13329
3067.03;23;13328
3067.03;23;13327
3067.03;35;13326
3067.03;23;13332
3067.03;33;13331
3067.03;19;13325
3067.03;35;13329
3067.03;37;13325
3067.03;17;13327
3067.03;30;13252
3067.03;23;13332
3067.03;25;13331
3067.03;39;13078
3067.03;33;13665
3146.52;18;16176
3146.52;37;25625
3146.52;49;14150
3146.52;36;14406
3146.52;43;13741
3146.52;40;12300
3146.52;50;15938
3146.52;57;16822
3146.52;85;12386
3146.52;72;12799
3146.52;40;12300
3146.52;42;12841
3146.52;26;15079
3146.52;49;12813
3146.52;46;13044
3146.52;34;28246
3146.52;33;38471
3146.52;25;13221
3146.52;36;13096
3146.52;20;13220
3146.52;21;13110
3122.35;19;34899
3122.35;39;53299
3122.35;22;26650
3122.35;9;13325
3122.35;7;13325
3122.35;5;13325
3122.35;11;12300
3122.35;9;14711
3122.35;5;13325
3122.35;15;13325
3122.35;5;13325
3122.35;9;13325
3122.35;11;14001
3122.35;12;16000
3159.17;29;16000
3159.17;30;18486
3159.17;9;13641
3159.17;49;13190
3159.17;18;13001
3159.17;20;13327
3159.17;15;13078
3159.17;19;13001
3159.17;15;12805
3159.17;15;13327
3159.17;19;12683
3159.17;19;13769
3159.17;39;17660
3159.17;56;17425
3159.17;31;22666
3159.17;33;24400
3159.17;12;15086
3159.17;10;14359
3159.17;19;13666
3159.17;31;13325
3159.17;23;13330
3159.17;27;13663
3159.17;29;13327
3159.17;21;13661
3159.17;11;13660
3159.17;19;13201
3159.17;27;13331
3159.17;29;13330
3159.17;17;13663
3159.17;34;13662
3159.17;41;13327
3159.17;19;13326
3159.17;28;14008
3159.17;15;13665
3159.17;23;13330
3159.17;27;13329
3159.17;19;13662
3111.72;38;24326
3111.72;32;24935
3111.72;28;32000
3111.72;33;14268
3111.72;29;14268
3111.72;23;14268
3111.72;25;14268
3111.72;29;14438
3111.72;17;14491
3111.72;27;14991
3111.72;74;14491
3111.72;29;14606
3111.72;51;14491
3111.72;20;17012
3111.72;54;14268
3111.72;47;14443
3111.72;17;28500
3142.18;58;22724
3142.18;29;15377
3142.18;32;14491
3142.18;23;14275
3142.18;33;14049
3142.18;41;14483
3142.18;15;20001
3142.18;30;14495
3142.18;31;16400
3142.18;14;25899
3142.18;44;15500
3142.18;34;15760
3142.18;30;54443
3290;49;13252
3290;41;24354
3290;27;15456
3290;31;14001
3290;18;14711
3290;22;13580
3290;40;13580
3290;41;13706
3290;28;14001
3290;29;13711
3290;45;21287
3290;24;14709
3290;33;12924
3290;35;22399
3290;25;14711
3290;35;15077
3290;56;53846
3290;45;56375
3290;8;14819
3290;4;14722
3291.97;13;16240
3291.97;22;20217
3291.97;45;15321
3291.97;41;13793
3291.97;13;14616
3291.97;19;14729
3291.97;17;14492
3291.97;36;14660
3291.97;27;14585
3194.86;30;15375
3194.86;32;15372
3194.86;39;17388
3194.86;23;31428
3194.86;20;12924
3194.86;12;12403
3194.86;14;12805
3194.86;23;12924
3194.86;12;13078
3194.86;16;13248
3194.86;20;14035
3194.86;20;12447
3194.86;20;13032
3194.86;8;12403
3194.86;10;13032
